n,avg_total_comparisons,avg_cost_per_operation,avg_cost_per_n,std_cost_per_n
100,1559.3333333333333,3.8886118038237734,15.593333333333334,0.1699673171197597
200,3317.6666666666665,4.1419059508947145,16.588333333333335,0.12970050972229077
300,5124.0,4.266444629475437,17.08,0.042426406871192784
400,7073.0,4.41786383510306,17.6825,0.07062223445912708
500,9111.666666666666,4.553556555055805,18.223333333333333,0.01319932658214887
600,10918.333333333334,4.547410801055116,18.197222222222223,0.07026844470306377
700,12915.333333333334,4.610972271807689,18.45047619047619,0.04475683861908303
800,14985.333333333334,4.681453712381548,18.731666666666666,0.031529307353988345
900,17007.333333333332,4.722947329445525,18.897037037037034,0.034952446629346344
1000,19264.0,4.814796300924768,19.264,0.04445222154178588
