graph,iterations,initial_temp,alpha,epochs_per_temp,min_temp,best_dist,avg_dist,avg_steps,time_ms
qa194,100,1000,0.999,100,0.001,9511,9831.7,1.3809e+06,1504
qa194,100,5000,0.999,100,0.001,9555,9844.44,1.5418e+06,1731
qa194,100,10000,0.999,100,0.001,9453,9838.08,1.6111e+06,1816
qa194,100,50000,0.999,100,0.001,9491,9860.75,1.7719e+06,2013
qa194,100,500,0.999,200,0.001,9471,9701.29,2.6232e+06,2794
qa194,100,1000,0.999,200,0.001,9421,9712.92,2.7618e+06,2981
qa194,100,5000,0.999,200,0.001,9386,9721.95,3.0836e+06,3293
qa194,100,10000,0.999,200,0.001,9501,9690.75,3.2222e+06,3583
qa194,100,50000,0.999,200,0.001,9455,9700.04,3.5438e+06,4024
qa194,100,500,0.999,500,0.001,9391,9603.35,6.558e+06,7010
qa194,100,1000,0.999,500,0.001,9404,9605.72,6.9045e+06,7497
qa194,100,5000,0.999,500,0.001,9393,9598.9,7.709e+06,8394
qa194,100,10000,0.999,500,0.001,9384,9595.59,8.0555e+06,8689
qa194,100,50000,0.999,500,0.001,9365,9601.09,8.8595e+06,9660
